,model_name,accuracy,accuracy_balanced,f1_score,f2_score,roc_auc,avg_precision,precision,recall
91,AutoXGB,0.999,0.954,0.832,0.938,0.992,0.896,0.884,0.954
92,AutoXGB,1.0,0.913,0.857,0.919,0.971,0.837,0.945,0.913
93,AutoXGB,0.998,0.953,0.627,0.884,0.995,0.9,0.739,0.953
94,AutoXGB,0.999,0.908,0.804,0.906,0.971,0.832,0.896,0.908
95,AutoXGB,0.992,0.935,0.267,0.726,0.975,0.791,0.579,0.935
96,AutoXGB,0.989,0.954,0.23,0.705,0.98,0.873,0.566,0.954
97,AutoXGB,1.0,0.934,0.885,0.937,0.983,0.891,0.952,0.934
98,AutoXGB,0.999,0.918,0.781,0.907,0.98,0.844,0.866,0.918
99,AutoXGB,0.999,0.903,0.782,0.898,0.978,0.835,0.88,0.903
100,AutoXGB,1.0,0.934,0.881,0.936,0.981,0.884,0.947,0.934
